公司名称,职位名称,职位标签,部门,公司简介,公司行业,公司性质,融资阶段,公司规模,公司主页,工作地点,薪资,职位诱惑,工作性质,经验,学历,职位简介,发布日期,来源网站
大连现代服饰有限公司,数据分析师,NULL,NULL,NULL,消费品,其他,NULL,101－300人,NULL,大连,2001-4000,"['五险一金', '节日福利']",全职,经验3年,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、要求具有三年以上相关管理 经验，专科以上学历。', ' 2、精通数据报表的制作，精通excel的使用。', ' 3、会解读数据，将数据和信息结合，进行数据分析。', ' ', ' ', ' ', ' ', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
吉林省锐迅信息技术股份有限公司,大数据分析工程师,NULL,NULL,NULL,IT/互联网计算机软件,其他,NULL,101－300人,NULL,长春,6001-8000,"['五险一金', '绩效奖金', '股票期权', '带薪年假', '节日福利', '话费补贴']",全职,经验1年,其他,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、进行政务和商业大数据需求分析，数据采集、存储、集成、预处理，利用大数据分析算法构建分析模型，对分析结果进行可视化展示。', ' 2、为公司项目提供数据支持、数据决策分析、支持公司战略决策的数据分析。', ' 3、沉淀分析思路与框架，探索并归纳各项行业数据及指标，了解同行业发展潮流指向及数据情况，构建数据分析体系、推动数据化运营工作；提炼数据产品需求，推动数据产品落地。', ' ', ' 任职要求：', ' 1、熟悉统计以及数据挖掘、机器学习、人工智能技术，尤其是关联分析、分类预测、聚类分析、回归分析、时间序列分析等常用分析方法，了解SAS、SPSS等软件，了解Mahout、R等软件包和语言。', ' 2、熟悉传统关系数据库、数据仓库技术，了解数据预处理技术、数据集成技术、了解Hadoop（包括HDFS、Map-Reduce、HBase、HIVE等）和Spark集群相关技术。', ' 3、熟悉JAVA/Python/C++程序设计，至少精通其中一种。', ' ', '查看更多']",2016/12/8,中华英才网
,,,,,,,,,,,,,,,,,,
中山市翰锋照明有限公司,数据分析,NULL,NULL,NULL,政府/非赢利机构/其他其他行业,其他,NULL,101－300人,NULL,中山,3月4日,"['五险一金', '餐饮补贴', '员工培训', '绩效奖金', '员工旅游']",全职,,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '查看更多']",2017/2/16,中华英才网
,,,,,,,,,,,,,,,,,,
工银安盛人寿保险有限公司佛山中心支公司,数据分析,NULL,NULL,NULL,保险,合资,NULL,500人以上,NULL,佛山 禅城区,6000-8000,"['五险一金', '绩效奖金', '商业保险', '节日福利', '员工旅游', '员工培训', '弹性工作']",全职,经验1年,大专,"['职位介绍', '年龄：25-45岁', '|', '性别：不限', '|', '驾照：不要求', '岗位职责:', '岗位职责：', '1、负责公司营销产品的数据收集、统计、分析。', '2、对各类报表进行规范与统筹', '3、具有服务意思，了解客户，维护客户', '任职资格：', '1. 拥有积极的工作心态，具备较好的人际沟通能力、具有较强的服务意识', '2.具有耐性，勇于挑战自我，有较强的成就动机', '3. 专科及以上学历', '工作地址：佛山市禅城祖庙路46号华辉大厦2406室', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
南宁市龙光世纪房地产有限公司,数据分析工程师（销售数据分析）,NULL,NULL,NULL,政府/非赢利机构/其他其他行业,其他,NULL,101－300人,NULL,南宁,2月2日,"['五险一金', '带薪年假']",全职,,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 2、大专及以上学历；', ' 3、专业不限；', ' 4、24—40以内，了解房产销售工作；', ' 5、喜欢数据分析工作，了解销售报表数据统计、分析；', ' 6、熟悉房产行情数据统计、分析。', ' 职责要求', ' 1、统计销售数据、分析；', ' 2、进行客户类型分类统计、分析；', ' 3、了解南宁市及全国房产销售情况数据收集、统计、分析。', ' ', '查看更多']",2017/2/23,中华英才网
,,,,,,,,,,,,,,,,,,
